"Ano:2020 Modelo: Todos Data: 12/03/2020
Categoria: Todas Motor: Todos Última Atualização: 11/03/2020
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
Energética
Veículos Automotores Leves
Categoria Todas
Modelos com classificação PBE para ENCE
Comparação entre modelos participantes
Ano 2020
36 Marcas
Valor de CO2 da
1034 Modelos/Versões emissão no
Valores em km/l medidos em condições padrão de laboratório (NBR7024) e ajustados para
escapamento referente
139 Modelo(s) com Selo CONPET simular condições mais comuns de utilização. Para veículos elétricos, km/l refere­se ao
ao combustível de
consumo equivalente a gasolina (km/l e). O consumo percebido pelo motorista poderá variar
origem fóssil não
para mais ou para menos, dependendo das condições de uso. Para saber por que, consulte:
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2 fóssil
(g/km)",,,,,,,,,4,2020,
,RENAULT,Sandero,1.0­12V,Expression,M­5,S,E­H,F,"0,021","0,163","0,045",B,0,93,"9,5","9,6","14,2","14,1","1,52",A,B,SIM,4,2020,COMPACTO
,RENAULT,Sandero,1.6­16V,Dynamique,M­5,S,E­H,F,"0,024","0,483","0,033",B,0,102,"8,6","9,2","12,8","13,4","1,66",B,B,­,4,2020,COMPACTO
,RENAULT,Sandero,1.6­16V,Expression,M­5,S,E­H,F,"0,024","0,483","0,033",B,0,102,"8,6","9,2","12,8","13,4","1,66",B,B,­,4,2020,COMPACTO
,RENAULT,Sandero,1.6­16V,Expression,MTA­5,S,E­H,F,"0,021","0,461","0,032",B,0,108,"8,1","8,8","11,8","12,8","1,77",D,B,­,4,2020,COMPACTO
,RENAULT,Sandero,1.6­16V,Dynamique,MTA­5,S,E­H,F,"0,021","0,461","0,032",B,0,108,"8,1","8,8","11,8","12,8","1,77",D,B,­,4,2020,COMPACTO
,RENAULT,Sandero,1.6­16V,GT Line,M­5,S,E­H,F,"0,027","0,440","0,025",B,0,104,"8,4","8,9","12,5","13,0","1,71",C,B,­,4,2020,COMPACTO
,RENAULT,Sandero RS,2.0­16V,RS,M­6,S,E­H,F,"0,031","0,381","0,047",C,0,129,"6,9","7,7","9,9","11,1","2,10",E,C,­,4,2020,COMPACTO
,HYUNDAI,HB20,1.0­12V Turbo,Evolution,A­6,S,E,F,"0,014","0,186","0,019",B,0,104,"8,2","10,2","11,8","14,2","1,67",B,B,­,4,2020,COMPACTO
,HYUNDAI,HB20,1.0­12V Turbo,Diamond,A­6,S,E,F,"0,021","0,371","0,038",B,0,102,"8,6","10,3","12,2","13,9","1,64",B,B,­,4,2020,COMPACTO
,HYUNDAI,HB20,1.6­16V,Vision,M­6,S,E,F,"0,014","0,608","0,013",B,0,99,"8,6","10,3","12,5","14,7","1,61",B,B,­,4,2020,COMPACTO
,HYUNDAI,HB20,1.6­16V,Evolution,M­6,S,E,F,"0,014","0,608","0,013",B,0,99,"8,6","10,3","12,5","14,7","1,61",B,B,­,4,2020,COMPACTO
,HYUNDAI,HB20,1.6­16V,Vision,A­6,S,E,F,"0,009","0,336","0,014",B,0,107,"7,8","9,8","11,5","13,9","1,74",C,B,­,4,2020,COMPACTO
,HYUNDAI,HB20,1.6­16V,Evolution,A­6,S,E,F,"0,009","0,336","0,014",B,0,107,"7,8","9,8","11,5","13,9","1,74",C,B,­,4,2020,COMPACTO
,HYUNDAI,HB20,1.0­12V,Sense,M­5,S,E,F,"0,014","0,593","0,026",B,0,97,"9,1","10,1","12,8","14,6","1,57",A,B,SIM,4,2020,COMPACTO
,HYUNDAI,HB20,1.0­12V,Vision,M­5,S,E,F,"0,014","0,593","0,026",B,0,97,"9,1","10,1","12,8","14,6","1,57",A,B,SIM,4,2020,COMPACTO
,Hyundai,HB20,1.0­12V Turbo,Sport,A­6,S,E,F,"0,014","0,201","0,020",B,0,105,"8,2","10,4","11,7","14,0","1,69",C,B,­,4,2020,COMPACTO
,CHEVROLET,Onix Joy,1.0­8V,Joy,M­6,S,E,F,"0,035","0,680","0,017",B,0,98,"8,8","10,3","12,8","14,7","1,58",A,B,SIM,4,2020,COMPACTO
,CHEVROLET,Onix Joy,1.0­8V,Joy Black,M­6,S,E,F,"0,035","0,680","0,017",B,0,98,"8,8","10,3","12,8","14,7","1,58",A,B,SIM,4,2020,COMPACTO
,VW,Fox,1.6­8V,Connect,M­5,S,E,F,"0,019","0,478","0,030",B,0,106,"7,8","9,7","11,6","13,9","1,74",C,B,­,4,2020,COMPACTO
,VW,Fox,1.6­8V,Xtreme,M­5,S,E,F,"0,018","0,420","0,032",B,0,110,"7,7","9,2","11,3","13,3","1,80",D,B,­,4,2020,COMPACTO
,VW,Gol,1.0­12V,(roda aro 14),M­5,S,H,F,"0,028","0,260","0,020",B,0,96,"9,1","10,1","13,3","14,4","1,56",A,B,SIM,4,2020,COMPACTO
,VW,Gol,1.0­12V,(roda aro 15),M­5,S,H,F,"0,033","0,309","0,023",B,0,98,"9,0","9,9","12,9","14,2","1,59",B,B,­,4,2020,COMPACTO
,VW,Gol,1.6­8V,,M­5,S,H,F,"0,015","0,513","0,020",B,0,110,"7,8","9,5","11,1","13,6","1,78",D,B,­,4,2020,COMPACTO
,VW,Gol,1.6­8V,Patrulheiro,M­5,S,H,F,"0,011","0,350","0,023",B,0,107,"7,7","9,0","11,2","13,0","1,82",D,B,­,4,2020,COMPACTO
,VW,Gol,1.6­16V,MSI,A­6,S,H,F,"0,055","0,277","0,019",C,0,110,"7,7","9,6","11,1","13,6","1,79",D,B,­,4,2020,COMPACTO
,NISSAN,New Versa,1.0­12V,Conforto,M­5,S,E,F,"0,012","0,488","0,004",A,0,95,"8,8","10,5","12,9","15,3","1,55",B,B,­,4,2020,MÉDIO
,NISSAN,New Versa,1.0­12V,S,M­5,S,E,F,"0,012","0,488","0,004",A,0,95,"8,8","10,5","12,9","15,3","1,55",B,B,­,4,2020,MÉDIO
