Categoria,Marca,Modelo,Versão,Motor,"Tipo
Médio,CHEVROLET,SPIN,1.8L AT LT,1.8L -8V,Combustão,A-6,S,E,F,30,366,2,B,0,121,\,"7,2","8,8","10,2","12,6",\,\,"1,94",\,D,C,-,2,2023
Médio,CHEVROLET,SPIN,1.8L AT LS,1.8L -8V,Combustão,A-6,S,E,F,30,366,2,B,0,121,\,"7,2","8,8","10,2","12,6",\,\,"1,94",\,D,C,-,2,2023
Médio,CHEVROLET,SPIN,1.8L MT LS E,1.8L-8V,Combustão,M-6,S,E,F,51,411,2,B,0,115,\,"7,5","8,9","10,8","12,8",\,\,"1,87",\,D,C,-,2,2023
Médio,CHEVROLET,SPIN,1.8L MT LT,1.8L-8V,Combustão,M-6,S,E,F,51,411,2,B,0,115,\,"7,5","8,9","10,8","12,8",\,\,"1,87",\,D,C,-,2,2023
Médio,FIAT,CRONOS,1.0 (MY23),1.0-6V,Combustão,M-5,S,E,F,42,549,3,B,0,89,\,"9,9","11,3","13,8","16,0",\,\,"1,43",\,A,B,SIM,2,2023
Médio,FIAT,CRONOS,DRIVE 1.0 (MY23),1.0-6V,Combustão,M-5,S,E,F,37,528,2,B,0,88,\,"9,9","11,4","14,0","16,1",\,\,"1,42",\,A,B,SIM,2,2023
Médio,FIAT,CRONOS,DRIVE 1.3 (CY23),1.3-8V,Combustão,M-5,S,E,F,35,206,2,A,0,95,\,"9,0","10,9","12,8","15,5",\,\,"1,53",\,A,B,SIM,2,2023
Médio,FIAT,CRONOS,PREC 1.3AT (CY23),1.3-8V,Combustão,CVT-7,S,E,F,35,242,2,A,0,94,\,"9,3","11,0","13,3","15,0",\,\,"1,50",\,A,B,SIM,2,2023
Médio,FIAT,CRONOS,DRIVE 1.3AT (CY23),1.3-8V,Combustão,CVT-7,S,E,F,35,242,2,A,0,94,\,"9,3","11,0","13,3","15,0",\,\,"1,50",\,A,B,SIM,2,2023
Médio,FIAT,CRONOS,1.0,1.0-6V,Combustão,M-5,S,E,F,42,357,3,B,0,92,\,"9,8","11,0","13,4","15,6",\,\,"1,47",\,A,B,SIM,2,2023
Médio,FIAT,CRONOS,DRIVE 1.0,1.0-6V,Combustão,M-5,S,E,F,42,357,3,B,0,92,\,"9,8","11,0","13,4","15,6",\,\,"1,47",\,A,B,SIM,2,2023
Médio,GWM,ORA 03,GT BEV63,Elétrico,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"42,4","36,5","0,51",319,A,A,-,2,2023
Médio,GWM,ORA 03,SKIN BEV48,Elétrico,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"41,7","35,7","0,52",232,A,A,-,2,2023
Médio,HONDA,CITY,EX,1.5-16V,Combustão,CVT,S,E,F,20,93,1,A,0,94,\,"9,2","10,5","13,1","15,2",\,\,"1,53",\,A,B,SIM,2,2023
Médio,HONDA,CITY,EXL,1.5-16V,Combustão,CVT,S,E,F,20,93,1,A,0,94,\,"9,2","10,5","13,1","15,2",\,\,"1,53",\,A,B,SIM,2,2023
Médio,HONDA,CITY,TOURING,1.5-16V,Combustão,CVT,S,E,F,20,93,1,A,0,94,\,"9,2","10,5","13,1","15,2",\,\,"1,53",\,A,B,SIM,2,2023
Médio,HONDA,CITY HATCH,EXL,1.5-16V,Combustão,CVT,S,E,F,23,84,2,A,0,95,\,"9,1","10,5","13,3","14,8",\,\,"1,53",\,A,B,SIM,2,2023
Médio,HONDA,CITY HATCH,TOURING,1.5-16V,Combustão,CVT,S,E,F,23,84,2,A,0,95,\,"9,1","10,5","13,3","14,8",\,\,"1,53",\,A,B,SIM,2,2023
Médio,HONDA,HR-V,EX HONDA SENSING,1.5-16V,Combustão,CVT,S,E,F,31,109,3,A,0,100,\,"8,8","9,8","12,7","13,9",\,\,"1,62",\,B,B,-,2,2023
Médio,HONDA,HR-V,EXL HONDA SENSING,1.5-16V,Combustão,CVT,S,E,F,31,109,3,A,0,100,\,"8,8","9,8","12,7","13,9",\,\,"1,62",\,B,B,-,2,2023
Médio,HONDA,HR-V,ADVANCE,1.5T-16V,Combustão,CVT,S,E,F,37,184,3,B,0,113,\,"7,9","8,8","11,3","12,6",\,\,"1,83",\,D,C,-,2,2023
Médio,HONDA,HR-V,TOURING,1.5T-16V,Combustão,CVT,S,E,F,37,184,3,B,0,113,\,"7,9","8,8","11,3","12,6",\,\,"1,83",\,D,C,-,2,2023
Médio,HYUNDAI,IONIQ,HEV,1.6 -16V,Híbrido,A,S,E,G,20,95,1,A,\,67,\,\,\,"18,9","18,8",\,\,"1,09",\,A,A,SIM,2,2023
Médio,Hyundai,HB20S,Comfort,1.0-12V,Combustão,M-5,S,E,F,20,154,2,A,0,95,\,"9,4","10,4","13,2","14,8",\,\,"1,52",\,A,B,SIM,2,2023
Médio,Hyundai,HB20S,Limited,1.0-12V,Combustão,M-5,S,E,F,20,154,2,A,0,95,\,"9,4","10,4","13,2","14,8",\,\,"1,52",\,A,B,SIM,2,2023
Médio,Hyundai,HB20S,Platinum,1.0-12V,Combustão,M-5,S,E,F,20,154,2,A,0,95,\,"9,4","10,4","13,2","14,8",\,\,"1,52",\,A,B,SIM,2,2023
