categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Grande,TOYOTA,COROLLA,ALTIS 20,2.0 - 16V,Combustão,CVT,S,E,103,"8,3","9,8","11,9",2
Grande,TOYOTA,COROLLA,GRS,2.0 - 16V,Combustão,CVT,S,E,103,"8,3","9,8","11,9",2
Extra Grande,AUDI,A4 Sedan,Prestige,2.0 - 16V,Combustão,DCT-7,S,E,119,\,\,"10,5",2
Extra Grande,AUDI,A4 Sedan,S line,2.0 - 16V,Combustão,DCT-7,S,E,119,\,\,"10,5",2
Extra Grande,AUDI,A5 Sportback,S line,2.0 - 16V,Combustão,DCT-7,S,E,121,\,\,"10,3",2
Extra Grande,AUDI,RS 5 Sportback,-,2.9 - 24 V,Combustão,A-8,S,E,174,\,\,"7,0",2
Extra Grande,AUDI,RS 6 Avant,-,4.0 - 32V,Híbrido,A-8,S,E,230,\,\,"5,4",2
Extra Grande,AUDI,Q5,Prestige,2.0 - 16V,Combustão,A- 7,S,E,159,\,\,"8,0",2
Extra Grande,AUDI,Q5,S line,2.0 - 16V,Combustão,A- 7,S,E,159,\,\,"8,0",2
Extra Grande,AUDI,Q5,Prestige,2.0 - 16V,Combustão,A-7,S,E,149,\,\,"8,5",2
Extra Grande,AUDI,Q5,S line,2.0 - 16V,Combustão,A-7,S,E,149,\,\,"8,5",2
Extra Grande,AUDI,Q5,S line Black,2.0 - 16V,Combustão,A-7,S,E,149,\,\,"8,5",2
Extra Grande,AUDI,Q7,Performance,3.0 - 24V,Híbrido,A-8,S,E,183,\,\,"7,1",2
Extra Grande,AUDI,Q7,Performance Black,3.0 - 24V,Híbrido,A-8,S,E,183,\,\,"7,1",2
Extra Grande,AUDI,Q8 Sportback,Performance,3.0 - 24V,Híbrido,A-8,S,E,189,\,\,"7,0",2
Extra Grande,AUDI,Q8 Sportback,Performance Black,3.0 - 24V,Híbrido,A-8,S,E,189,\,\,"7,0",2
Extra Grande,AUDI,RS e-tron GT,-,Elétrico,Elétrico,A,S,E,0,\,\,"29,3",2
Extra Grande,AUDI,RS e-tron GT,-,Elétrico,Elétrico,A,S,E,0,\,\,"29,3",2
Extra Grande,AUDI,e-tron S Sportback,-,Elétrico,Elétrico,A,S,E,0,\,\,"23,6",2
Extra Grande,AUDI,e-tron Sportback,Performance,Elétrico,Elétrico,A,S,E,0,\,\,"22,7",2
Extra Grande,AUDI,e-tron Sportback,Performance Black,Elétrico,Elétrico,A,S,E,0,\,\,"22,7",2
Extra Grande,AUDI,e-tron,Performance,Elétrico,Elétrico,A,S,E,0,\,\,"23,0",2
Extra Grande,AUDI,e-tron,Performance Black,Elétrico,Elétrico,A,S,E,0,\,\,"23,0",2
Extra Grande,AUDI,Q5 TFSI e,Performance,2.0 - 16V,Plug-in,A-7,S,E,45,\,\,"22,4",2
Extra Grande,AUDI,Q5 TFSI e,Performance,2.0 - 16V,Plug-in,A-7,S,E,46,\,\,"21,2",2
Extra Grande,AUDI,Q5 TFSI e,Performance Black,2.0 - 16V,Plug-in,A-7,S,E,46,\,\,"21,2",2
Extra Grande,AUDI,Q5 Sportback TFSI e,Performance,2.0 - 16V,Plug-in,A-7,S,E,45,\,\,"21,4",2
Extra Grande,AUDI,Q5 Sportback TFSI e,Performance,2.0 - 16V,Plug-in,A-7,S,E,47,\,\,"21,9",2
Extra Grande,AUDI,Q5 Sportback TFSI e,Performance Black,2.0 - 16V,Plug-in,A-7,S,E,47,\,\,"21,9",2
Extra Grande,AUDI,Q7,Performance,3.0 - 24V,Híbrido,A-8,S,E,194,\,\,"6,7",2
Extra Grande,AUDI,RS Q8,-,4.0 - 32V,Híbrido,A-8,S,E,226,\,\,"5,5",2
Extra Grande,AUDI,"RS 5 Sportback Competition
Plus",-,2.9 - 24 V,Combustão,A-8,S,E,176,\,\,"6,8",2
Extra Grande,BMW,420i,Cabrio,2.0 - 16V,Combustão,A-8,S,E-H,121,\,\,"9,9",2
Extra Grande,BMW,330e,-,2.0 - 16V,Plug-in,A-8,S,E-H,47,\,\,"21,7",2
Extra Grande,BMW,320i,GP Flex,2.0 - 16V,Combustão,A-8,S,E-H,111,"7,8","9,4","11,2",2
Extra Grande,BMW,320i,Sport GP Flex,2.0 - 16V,Combustão,A-8,S,E-H,114,"7,5","9,1","10,7",2
Extra Grande,BMW,320i,M Sport Flex,2.0 - 16V,Combustão,A-8,S,E-H,114,"7,5","9,1","10,7",2
Extra Grande,BMW,530e,-,2.0 - 16V,Plug-in,A-8,S,E-H,40,\,\,"24,0",2
Extra Grande,BMW,IX3,-,Elétrico,Elétrico,A,S,E,0,\,\,"37,9",2
Extra Grande,BMW,IX xDrive 40,-,Elétrico,Elétrico,A,S,E,0,\,\,"35,2",2
Extra Grande,BMW,IX xDrive 50,-,Elétrico,Elétrico,A,S,E,0,\,\,"36,4",2
Extra Grande,BMW,i4 40,-,Elétrico,Elétrico,A,S,E,0,\,\,"35,9",2
Extra Grande,BMW,320i,GP Flex/ MY23,2.0 - 16V,Combustão,A-8,S,E,115,"7,5","9,2","10,7",2
Extra Grande,BMW,320i,Sport GP Flex/ MY23,2.0 - 16V,Combustão,A-8,S,E,115,"7,5","9,2","10,7",2
Extra Grande,BMW,320i,Active Flex/ MY23,2.0 - 16V,Combustão,A-8,S,E,117,"7,2","9,0","10,4",2
Extra Grande,BMW,320i,M Sport Flex/ MY23,2.0 - 16V,Combustão,A-8,S,E,115,"7,5","9,1","10,6",2
Extra Grande,BMW,i4,M50,Elétrico,Elétrico,A,S,E,0,\,\,"28,1",2
Extra Grande,Chevrolet,EQUINOX,15T PRE,1.5T -16V,Combustão,A-6,S,E,140,\,\,"9,0",2
Extra Grande,Chevrolet,EQUINOX,15T RS,1.5T -16V,Combustão,A-6,S,E,133,\,\,"9,3",2
Extra Grande,Chevrolet,EQUINOX,15T LT,1.5T -16V,Combustão,A-6,S,E,133,\,\,"9,3",2
Extra Grande,Ford,Territory,SEL,1.5 - 16V,Combustão,CVT,S,E,141,\,\,"9,4",2
