Categoria,Marca,Modelo,Versão,Motor,"Transmissão
Compacto,VW,Fox,"Highline (Rodas aro 16"")
/ Pepper (Rodas aro 16"")",1.6-16V,M-6,S,E,F,"0,030","0,531","0,015",B,0,118,"7,4","8,5","10,8","12,0","1,92",E,C,-,4,2017
Compacto,VW,Fox,"Highline (Rodas aro 15"") (I-Motion)
/ Pepper (Rodas aro 15"") (I-Motion)",1.6-16V,MTA-5,S,E,F,"0,033","0,436","0,007",B,0,109,"8,0","9,5","11,4","13,5","1,76",C,B,-,4,2017
Compacto,VW,Fox,"Highline (Rodas aro 16"") (I-Motion)
/ Pepper (Rodas aro 16"") (I-Motion)",1.6-16V,MTA-5,S,E,F,"0,040","0,489","0,009",B,0,120,"7,3","8,2","10,6","11,9","1,95",E,C,-,4,2017
Compacto,MINI,Cooper,-,1.5 - 12v,A-6,S,E-H,G,"0,010","0,149","0,015",A,\,106,\,\,"11,6","13,9","1,73",C,B,-,4,2017
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,5,2017
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,5,2017
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,5,2017
Compacto,Renault,Sandero,Authentique / Expression,1.0-12V,M5,S,E-H,F,"0,021","0,163","0,045",B,0,93,"9,5","9,6","14,2","14,1","1,52",A,B,SIM,5,2017
Compacto,Renault,Sandero,Dynamique / Expression,1.6-16V,M5,S,E-H,F,"0,024","0,483","0,033",B,0,102,"8,6","9,2","12,8","13,4","1,66",B,B,-,5,2017
Compacto,Renault,Sandero,Expression / Dynamique,1.6-16V,MTA-5,S,E-H,F,"0,021","0,461","0,032",B,0,108,"8,1","8,8","11,8","12,8","1,77",D,B,-,5,2017
