categoria,marca,modelo,motor,versao,transmissao,ar_condicionado,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
MÉDIO,FIAT,Cronos,1.3­8V,"Drive (Stop &
Start)",MTA­5,S,E,F,"9,3","11,1","13,0","15,6",2020
MÉDIO,FIAT,Cronos,1.8­16V,Drive,A­6,S,E,F,"6,7","9,3","9,8","13,2",2020
MÉDIO,FIAT,Cronos,1.8­16V,Precision,A­6,S,E,F,"6,7","9,3","9,8","13,2",2020
MÉDIO,FIAT,Cronos,1.8­16V,HGT,A­6,S,E,F,"6,7","9,3","9,8","13,2",2020
MÉDIO,FIAT,Cronos,1.8­16V,"HGT (Stop &
Start)",A­6,S,E,F,"7,2","9,6","10,3","13,3",2020
MÉDIO,FIAT,Grand Siena,1.0­8V,Attractive,M­5,S,H,F,"7,9","9,5","11,2","13,6",2020
MÉDIO,FIAT,Grand Siena,1.4­8V,Attractive,M­5,S,H,F,"7,7","9,4","11,1","13,5",2020
MÉDIO,FIAT,Weekend,1.4­8V,Attractive,M­5,S,H,F,"7,1","8,3","10,4","12,0",2020
MÉDIO,BMW,i3,Elétrico,120Ah BEV,A­1,S,E,E,\,\,"0,0","0,0",2020
MÉDIO,MINI,Countryman,2.0­16V,Cooper S,A­7,S,E­H,G,\,\,"10,7","12,3",2020
MÉDIO,MINI,Countryman,1.5­16V,Cooper,A­7,S,E­H,G,\,\,"11,1","13,0",2020
MÉDIO,MINI,Countryman,2.0­16V,Cooper S ALL4,A­8,S,E­H,G,\,\,"10,0","11,9",2020
MÉDIO,MINI,Clubman,2.0­16V,Cooper S,A­7,S,E­H,G,\,\,"10,6","13,1",2020
MÉDIO,MINI,Clubman ALL4,2.0­16V,JCW,A­8,S,E­H,G,\,\,"9,0","11,5",2020
MÉDIO,MINI,Countryman,1.5 ­ 12V,ALL4 SE,A­6,S,E­H,G,\,\,"22,3","23,6",2020
MÉDIO,MINI,Countryman,2.0­16V,ALL4 JCW,A­8,S,E­H,G,\,\,"8,7","11,0",2020
MÉDIO,RENAULT,Logan,1.6­16V,Dynamique,MTA­5,S,E­H,F,"7,9","9,1","11,8","13,4",2020
MÉDIO,RENAULT,Logan,1.6­16V,Expression,MTA­5,S,E­H,F,"7,9","9,1","11,8","13,4",2020
MÉDIO,RENAULT,Logan,1.0­12V,Authentique,M­5,S,E­H,F,"9,4","10,2","14,0","14,9",2020
MÉDIO,RENAULT,Logan,1.0­12V,Expression,M­5,S,E­H,F,"9,4","10,2","14,0","14,9",2020
