Categoria,Marca,Modelo,Versão,Motor,"Transmissão
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,6,2019
Médio,CHEVROLET,"COBALT
(MY19)",1.4 LT,1.4L-8V,M-6,S,E,F,"0,018","0,513","0,013",B,0,98,"8,5","10,4","12,5","15,1","1,60",B,B,-,6,2019
Médio,CHEVROLET,"COBALT
(MY19)",1.4 LTZ,1.4L-8V,M-6,S,E,F,"0,018","0,513","0,013",B,0,98,"8,5","10,4","12,5","15,1","1,60",B,B,-,6,2019
Médio,CHEVROLET,"COBALT
(MY19)",1.8 AT ELITE,1.8L-8V,A-6,S,E,F,"0,021","0,450","0,011",B,0,108,"7,6","10,0","11,1","14,4","1,76",C,B,-,6,2019
Médio,CHEVROLET,"COBALT
(MY19)",1.8 AT LTZ,1.8L-8V,A-6,S,E,F,"0,021","0,450","0,011",B,0,108,"7,6","10,0","11,1","14,4","1,76",C,B,-,6,2019
Médio,CHEVROLET,"COBALT
(MY19)",1.8M LT,1.8L-8V,M-6,S,E,F,"0,027","0,361","0,011",B,0,100,"8,3","10,4","12,1","15,1","1,63",B,B,-,6,2019
Médio,CHEVROLET,"COBALT
(MY19)",1.8M LTZ,1.8L-8V,M-6,S,E,F,"0,027","0,361","0,011",B,0,100,"8,3","10,4","12,1","15,1","1,63",B,B,-,6,2019
Médio,CHEVROLET,"PRISMA
(MY19)",1.4AT LTZ,1.4L - 8V,A-6,S,E,F,"0,025","0,530","0,021",B,0,103,"8,0","10,0","11,7","14,6","1,69",C,B,-,6,2019
Médio,CHEVROLET,"PRISMA
(MY19)",1.4MT LTZ,1.4L - 8V,M-6,S,E,F,"0,025","0,647","0,015",B,0,97,"8,5","10,5","12,5","15,3","1,59",B,B,-,6,2019
Médio,CHEVROLET,"PRISMA
(MY19)",1.0MT LT,1.0L - 8V,M-6,S,E,F,"0,027","0,448","0,009",B,0,93,"8,9","10,8","13,1","15,8","1,52",A,B,SIM,6,2019
Médio,CHEVROLET,"PRISMA
(MY19)",1.4AT ADV,1.4L - 8V,A-6,S,E,F,"0,025","0,530","0,021",B,0,103,"8,0","10,0","11,7","14,6","1,69",C,B,-,6,2019
Médio,CHEVROLET,"PRISMA
(MY19)",1.4AT LT,1.4L - 8V,A-6,S,E,F,"0,025","0,530","0,021",B,0,103,"8,0","10,0","11,7","14,6","1,69",C,B,-,6,2019
