"Ano:2015 Modelo: Todos Data: 24/11/2015
Categoria: Todas Motor: Todos Última Atualização: 24/11/2015
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
,VOLKSWAGEN,Up! TSI,1.0­12V,BWR,M­5,S,E,F,"0,030","0,380","0,035",***,0,89,"9,6","11,1","13,8","16,1","1,44",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,Speed,M­5,S,E,F,"0,030","0,380","0,035",***,0,89,"9,6","11,1","13,8","16,1","1,44",A,A,SIM,3,2015,"SUB
COMPACTO"
,CITROEN,C3,1.5­8V,Origine,M­5,S,E,F,"0,009","0,607","0,041",***,0,102,"7,5","9,3","11,9","14,7","1,74",A,B,SIM,3,2015,COMPACTO
,CITROEN,C3,1.5­8V,Tendance,M­5,S,E,F,"0,009","0,607","0,041",***,0,102,"7,5","9,3","11,9","14,7","1,74",A,B,SIM,3,2015,COMPACTO
,CITROEN,C3,1.5­8V,Exclusive,M­5,S,E,F,"0,009","0,607","0,041",***,0,102,"7,5","9,3","11,9","14,7","1,74",A,B,SIM,3,2015,COMPACTO
,CITROEN,C3,1.5­8V,Attraction,M­5,S,E,F,"0,009","0,607","0,041",***,0,102,"7,5","9,3","11,9","14,7","1,74",A,B,SIM,3,2015,COMPACTO
,CITROEN,DS3,1.6­16V,Chic THP,M­6,S,E,G,"0,010","0,072","0,033",***,\,107,\,\,"11,3","14,4","1,73",A,B,SIM,3,2015,COMPACTO
,CITROEN,DS3,1.6­16V,So Chic THP,M­6,S,E,G,"0,010","0,072","0,033",***,\,107,\,\,"11,3","14,4","1,73",A,B,SIM,3,2015,COMPACTO
,FIAT,Idea,1.6­16V,Essence,M­5,S,H,F,"0,017","0,498","0,022",***,0,128,"6,8","8,0","9,9","11,5","2,07",E,C,­,3,2015,COMPACTO
,,,,,,,,,,,,,,,,,,,,,,,3,2015,Página 3 / 32
,,,,,,,,,,,,,,,,,,,,,,,3,2015,
,,,,,,,,,,,,,,,,,,,,,,,4,2015,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",4,2015,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,Gasolina,,,,,,4,2015,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,Gasolina,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,4,2015,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)",,,,,,,,,4,2015,
,,,,,(CVT),,,,,,,,,,,,,,,,,,4,2015,
,FIAT,Idea,1.6­16V,Essence,MTA­5,S,H,F,"0,018","0,523","0,019",***,0,127,"6,7","7,9","10,0","11,8","2,07",E,C,­,4,2015,COMPACTO
,FIAT,Novo Palio,1.4­8V,Attractive,M­5,S,H,F,"0,012","0,354","0,017",***,0,113,"7,4","9,3","10,8","13,5","1,84",B,B,­,4,2015,COMPACTO
,FIAT,Novo Palio,1.0­8V,Attractive,M­5,S,H,F,"0,009","0,217","0,008",***,0,112,"7,3","9,4","10,8","13,6","1,84",B,B,­,4,2015,COMPACTO
,FIAT,Punto,1.4­8V,"Attractive
Evo",M­5,S,H,F,"0,023","0,419","0,022",***,0,120,"7,4","8,5","10,4","12,3","1,93",C,B,­,4,2015,COMPACTO
,FIAT,Punto,1.6­16V,Essence,M­5,S,H,F,"0,020","0,527","0,029",***,0,125,"6,8","8,4","10,0","12,0","2,04",D,C,­,4,2015,COMPACTO
,FIAT,Punto,1.6­16V,"Essence
Dualogic",MTA­5,S,H,F,"0,022","0,481","0,021",***,0,125,"6,9","8,1","10,1","11,9","2,04",D,C,­,4,2015,COMPACTO
,FIAT,Siena,1.0­8V,EL,M­5,N,M,F,"0,020","0,461","0,032",***,0,103,"8,0","9,7","11,9","14,4","1,70",A,B,SIM,4,2015,COMPACTO
,FIAT,Siena,1.4­8V,EL,M­5,S,H,F,"0,018","0,497","0,031",***,0,115,"7,1","8,8","10,6","13,2","1,90",C,B,­,4,2015,COMPACTO
,FORD,New Fiesta Hatch,1.5­16V,S,M­5,S,E,F,"0,014","0,370","0,020",***,0,114,"7,6","9,4","10,7","13,4","1,83",B,B,­,4,2015,COMPACTO
,FORD,New Fiesta Hatch,1.5­16V,SE,M­5,S,E,F,"0,014","0,370","0,020",***,0,114,"7,6","9,4","10,7","13,4","1,83",B,B,­,4,2015,COMPACTO
,FORD,New Fiesta Hatch,1.6­16V,SE,DCT­6,S,E,F,"0,017","0,460","0,031",***,0,109,"7,7","10,0","11,0","14,3","1,76",A,B,SIM,4,2015,COMPACTO
,FORD,New Fiesta Hatch,1.6­16V,Titanium,DCT­6,S,E,F,"0,017","0,460","0,031",***,0,109,"7,7","10,0","11,0","14,3","1,76",A,B,SIM,4,2015,COMPACTO
,FORD,New Fiesta Hatch,1.6­16V,SE,M­5,S,E,F,"0,023","0,664","0,022",***,0,105,"8,0","9,9","11,7","14,1","1,71",A,B,SIM,4,2015,COMPACTO
,FORD,New Fiesta Hatch,1.6­16V,Titanium,M­5,S,E,F,"0,023","0,664","0,022",***,0,105,"8,0","9,9","11,7","14,1","1,71",A,B,SIM,4,2015,COMPACTO
,FORD,KA (5 Portas),1.0­12V,SE,M­5,S,E,F,"0,026","0,511","0,023",***,0,95,"8,9","10,4","13,0","15,1","1,56",A,A,SIM,4,2015,COMPACTO
,FORD,KA (5 Portas),1.0­12V,SEL,M­5,S,E,F,"0,026","0,511","0,023",***,0,95,"8,9","10,4","13,0","15,1","1,56",A,A,SIM,4,2015,COMPACTO
,FORD,KA (5 Portas),1.5­16V,SE,M­5,S,E,F,"0,020","0,390","0,018",***,0,108,"7,9","9,5","11,5","13,6","1,75",A,B,SIM,4,2015,COMPACTO
,FORD,KA (5 Portas),1.5­16V,SEL,M­5,S,E,F,"0,020","0,390","0,018",***,0,108,"7,9","9,5","11,5","13,6","1,75",A,B,SIM,4,2015,COMPACTO
,HONDA,Fit,1.5­16V,DX,M­5,S,E,F,"0,011","0,098","0,020",***,0,107,"8,3","9,5","11,6","13,6","1,72",A,B,SIM,4,2015,COMPACTO
,HONDA,Fit,1.5­16V,LX,M­5,S,E,F,"0,011","0,098","0,020",***,0,107,"8,3","9,5","11,6","13,6","1,72",A,B,SIM,4,2015,COMPACTO
,HONDA,Fit,1.5­16V,DX,CVT,S,E,F,"0,022","0,120","0,016",***,0,102,"8,3","9,9","12,3","14,1","1,66",A,A,SIM,4,2015,COMPACTO
