Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão
Combustão
Híbrido
Plug-in
Médio,MINI,Cooper,S 5P EXCLUSIVE,2.0 - 16V,Combustão,,S,E,G,8,69,0,A,\,105,\,\,\,11.5,14.5,\,\,1.71,\,C,C,-,2,2025,A-7,,
Médio,MINI,Cooper,S 5P TOP,2.0 - 16V,Combustão,,S,E,G,8,69,0,A,\,105,\,\,\,11.5,14.5,\,\,1.71,\,C,C,-,2,2025,A-7,,
Médio,MINI,Aceman,E,Elétrico,Elétrico,,S,E,E,0,0,0,A,\,0,0,\,\,\,\,47.6,40.2,0.46,253,A,A,-,2,2025,A,,
Médio,MINI,Aceman,SE,Elétrico,Elétrico,,S,E,E,0,0,0,A,\,0,0,\,\,\,\,40.8,36.7,0.52,270,A,A,-,2,2025,A,,
Médio,Nissan,Versa,SENSE CVT,1.6-16V,Combustão,,S,E,F,28,110,2,A,0,104,\,7.9,10.5,11.5,15.0,\,\,1.69,\,C,C,-,2,2025,CVT,,
Médio,Nissan,Versa,ADVNC CVT,1.6-16V,Combustão,,S,E,F,28,110,2,A,0,104,\,7.9,10.5,11.5,15.0,\,\,1.69,\,C,C,-,2,2025,CVT,,
Médio,Nissan,Versa,SR CVT,1.6-16V,Combustão,,S,E,F,28,110,2,A,0,104,\,7.9,10.5,11.5,15.0,\,\,1.69,\,C,C,-,2,2025,CVT,,
Médio,Nissan,Versa,EXCL CVT,1.6-16V,Combustão,,S,E,F,28,110,2,A,0,104,\,7.9,10.5,11.5,15.0,\,\,1.69,\,C,C,-,2,2025,CVT,,
Médio,Peugeot,E2008,GT,ELÉTRICO,Elétrico,,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,38.2,35.3,0.55,261,A,A,-,2,2025,A-1,,
Médio,Renault,MÉGANE,E-TECH,Elétrico,Elétrico,,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,41.4,38.8,0.51,337,A,A,-,2,2025,A,,
Médio,VOLVO,EX30,E40 CORE,Elétrico,Elétrico,,S,E,E,ND,0,0,A,\,0,\,\,\,\,\,40.1,33.9,0.55,250,A,A,-,2,2025,A,,
Médio,VOLVO,EX30,E60 ULTRA,Elétrico,Elétrico,,S,E,E,ND,0,0,A,\,0,\,\,\,\,\,43.2,35.3,0.52,338,A,A,-,2,2025,A,,
Médio,VOLVO,EX30,E60 PLUS,Elétrico,Elétrico,,S,E,E,ND,0,0,A,\,0,\,\,\,\,\,43.2,35.3,0.52,338,A,A,-,2,2025,A,,
Médio,VOLVO,EX30,E60 CORE,Elétrico,Elétrico,,S,E,E,ND,0,0,A,\,0,\,\,\,\,\,43.2,35.3,0.52,338,A,A,-,2,2025,A,,
Médio,Volkswagen,VIRTUS,"COMFORTLINE 200TSI
AUTOMÁTICO",1.0-12V,Combustão,,S,E,F,19,97,1,A,0,101,\,8.3,10.2,12.1,14.7,\,\,1.64,\,C,C,-,2,2025,A - 6,,
Médio,Volkswagen,VIRTUS,"HIGHLINE 200TSI
AUTOMÁTICO",1.0-12V,Combustão,,S,E,F,19,97,1,A,0,101,\,8.3,10.2,12.1,14.7,\,\,1.64,\,C,C,-,2,2025,A - 6,,
Médio,Volkswagen,VIRTUS,TSI AUTOMÁTICO,1.0-12V,Combustão,,S,E,F,18,118,2,A,0,100,\,8.5,10.4,12.2,14.9,\,\,1.62,\,C,C,-,2,2025,A - 6,,
Médio,Volkswagen,VIRTUS,TSI MECÂNICO,1.0-12V,Combustão,,S,E,F,16,248,1,A,0,93,\,9.2,11.2,13.2,15.8,\,\,1.49,\,B,B,-,2,2025,M - 5,,
Médio,Volkswagen,VIRTUS,SENSE TSI MECÂNICO,1.0-12V,Combustão,,S,E,F,16,248,1,A,0,93,\,9.2,11.2,13.2,15.8,\,\,1.49,\,B,B,-,2,2025,M - 5,,
