categoria,marca,modelo,motor,versao,trasmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano,
,FORD,KA (2017),1.5­16V,SE,M­5,S,E,F,"8,1","9,6","11,7","13,8",2016,COMPACTO
,FORD,KA (2017),1.5­16V,SEL,M­5,S,E,F,"8,1","9,6","11,7","13,8",2016,COMPACTO
,FORD,New Fiesta Hatch,1.5­16V,S,M­5,S,E,F,"7,6","9,4","10,7","13,4",2016,COMPACTO
,FORD,New Fiesta Hatch,1.5­16V,SE,M­5,S,E,F,"7,6","9,4","10,7","13,4",2016,COMPACTO
,FORD,New Fiesta Hatch,1.6­16V,SE,DCT­6,S,E,F,"7,7",10,11,"14,3",2016,COMPACTO
,FORD,New Fiesta Hatch,1.6­16V,Titanium,DCT­6,S,E,F,"7,7",10,11,"14,3",2016,COMPACTO
,FORD,New Fiesta Hatch,1.6­16V,SE,M­5,S,E,F,8,"9,9","11,7","14,1",2016,COMPACTO
,FORD,New Fiesta Hatch,1.6­16V,Titanium,M­5,S,E,F,8,"9,9","11,7","14,1",2016,COMPACTO
,FORD,New Fiesta Hatch (2017),1.6­16V,SE,DCT­6,S,E,F,"7,8","10,3","11,2","14,9",2016,COMPACTO
,FORD,New Fiesta Hatch (2017),1.6­16V,SEL,DCT­6,S,E,F,"7,8","10,3","11,2","14,9",2016,COMPACTO
,FORD,New Fiesta Hatch (2017),1.6­16V,Titanium,DCT­6,S,E,F,"7,8","10,3","11,2","14,9",2016,COMPACTO
,FORD,New Fiesta Hatch (2017),1.6­16V,SE,M­5,S,E,F,"8,2",10,12,"14,6",2016,COMPACTO
,FORD,New Fiesta Hatch (2017),1.6­16V,SEL,M­5,S,E,F,"8,2",10,12,"14,6",2016,COMPACTO
,,,,,,,,,,,,,2016,Página 5 / 44
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Quilometragem por Litro(?),,,,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Etanol,,"Gasolina /
Diesel",,2016,
,,,,,,,,,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",2016,
,,,,,,,,,,,,,2016,
,,,,,(CVT),,,,,,,,2016,
,FORD,New Fiesta Hatch (2017),1.0­12V,SE GTDI,DCT­6,S,E,G,\,\,"12,2","15,3",2016,COMPACTO
,FORD,New Fiesta Hatch (2017),1.0­12V,SEL GTDI,DCT­6,S,E,G,\,\,"12,2","15,3",2016,COMPACTO
,FORD,New Fiesta Hatch (2017),1.0­12V,Titanium GTDI,DCT­6,S,E,G,\,\,"12,2","15,3",2016,COMPACTO
,HONDA,Fit,1.5­16V,DX,M­5,S,E,F,"8,3","9,5","11,6","13,6",2016,COMPACTO
,HONDA,Fit,1.5­16V,LX,M­5,S,E,F,"8,3","9,5","11,6","13,6",2016,COMPACTO
,HONDA,Fit,1.5­16V,DX,CVT,S,E,F,"8,3","9,9","12,3","14,1",2016,COMPACTO
,HONDA,Fit,1.5­16V,LX,CVT,S,E,F,"8,3","9,9","12,3","14,1",2016,COMPACTO
,HONDA,Fit,1.5­16V,EX,CVT,S,E,F,"8,3","9,9","12,3","14,1",2016,COMPACTO
,HONDA,Fit,1.5­16V,EXL,CVT,S,E,F,"8,3","9,9","12,3","14,1",2016,COMPACTO
,HYUNDAI,HB20,1.0­12V,Comfort,M­5,S,H,F,"8,5","9,9","12,5","14,1",2016,COMPACTO
,HYUNDAI,HB20,1.0­12V,Plus,M­5,S,H,F,"8,5","9,9","12,5","14,1",2016,COMPACTO
,HYUNDAI,HB20,1.0­12V,Style,M­5,S,H,F,"8,5","9,9","12,5","14,1",2016,COMPACTO
,HYUNDAI,HB20,1.6­16V,Plus,A­6,S,H,F,"7,1","9,4","9,9","12,5",2016,COMPACTO
,HYUNDAI,HB20,1.6­16V,Style,A­6,S,H,F,"7,1","9,4","9,9","12,5",2016,COMPACTO
,HYUNDAI,HB20,1.6­16V,Premium,A­6,S,H,F,"7,1","9,4","9,9","12,5",2016,COMPACTO
,HYUNDAI,HB20,1.6­16V,R Spec,A­6,S,H,F,"7,1","9,4","9,9","12,5",2016,COMPACTO
,HYUNDAI,HB20,1.6­16V,Plus,M­6,S,H,F,"8,1","9,9","11,6","13,8",2016,COMPACTO
,HYUNDAI,HB20,1.6­16V,Style,M­6,S,H,F,"8,1","9,9","11,6","13,8",2016,COMPACTO
,HYUNDAI,HB20,1.6­16V,Premium,M­6,S,H,F,"8,1","9,9","11,6","13,8",2016,COMPACTO
,HYUNDAI,HB20,1.6­16V,R Spec,M­6,S,H,F,"8,1","9,9","11,6","13,8",2016,COMPACTO
,HYUNDAI,HB20,1.0­12V,Plus turbo,M­6,S,H,F,"8,2","10,1","11,6","14,3",2016,COMPACTO
,HYUNDAI,HB20,1.0­12V,Style turbo,M­6,S,H,F,"8,2","10,1","11,6","14,3",2016,COMPACTO
,JAC,J3,1.5­16V,J3 Flex,M­5,S,H,F,"6,5","8,4","9,7","12,5",2016,COMPACTO
,JAC,J3,1.5­16V,J3 Flex Sport,M­5,S,H,F,"6,5","8,4","9,7","12,5",2016,COMPACTO
,JAC,J3,1.5­16V,J3 Flex Turin,M­5,S,H,F,"6,5","8,4","9,7","12,5",2016,COMPACTO
,JAC,J3,1.5­16V,J3S,M­5,S,H,F,"6,5","8,4","9,7","12,5",2016,COMPACTO
,JAC,J3,1.5­16V,J3S Flex,M­5,S,H,F,"6,5","8,4","9,7","12,5",2016,COMPACTO
,JAC,J3,1.5­16V,J3S Flex Turin,M­5,S,H,F,"6,5","8,4","9,7","12,5",2016,COMPACTO
,JAC,J3,1.5­16V,J3S Turin,M­5,S,H,F,"6,5","8,4","9,7","12,5",2016,COMPACTO
,JAC,J3,1.5­16V,J3S Jetflex,M­5,S,H,F,"6,5","8,4","9,7","12,5",2016,COMPACTO
,JAC,J3,1.5­16V,J3 S Jetflex T,M­5,S,H,F,"6,5","8,4","9,7","12,5",2016,COMPACTO
,MINI,Cooper,1.5­12V,,A­6,S,E­H,G,\,\,"10,6","12,2",2016,COMPACTO
,MINI,Cooper,1.5­12V,5P,A­6,S,E­H,G,\,\,"11,3","13,7",2016,COMPACTO
,MINI,Cooper,2.0­16V,S 5P,A­6,S,E­H,G,\,\,"9,9","13,1",2016,COMPACTO
,NISSAN,New March,1.0­12V,10 MT,M­5,S,E,F,"8,8","10,4","12,9",15,2016,COMPACTO
,NISSAN,New March,1.0­12V,10 S,M­5,S,E,F,"8,8","10,4","12,9",15,2016,COMPACTO
,NISSAN,New March,1.0­12V,10 SV,M­5,S,E,F,"8,8","10,4","12,9",15,2016,COMPACTO
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,Página 6 / 44
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Quilometragem por Litro(?),,,,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Etanol,,"Gasolina /
Diesel",,2016,
,,,,,,,,,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",2016,
,,,,,,,,,,,,,2016,
,NISSAN,New March,1.6­16V,16 S,M­5,S,E,F,"8,5","9,9","12,6","14,4",2016,COMPACTO
,NISSAN,New March,1.6­16V,16 SV,M­5,S,E,F,"8,5","9,9","12,6","14,4",2016,COMPACTO
,NISSAN,New March,1.6­16V,16 SL,M­5,S,E,F,"8,5","9,9","12,6","14,4",2016,COMPACTO
,NISSAN,New March,1.6­16V,16 SV,CVT,S,E,F,"7,8","9,8","11,7","14,5",2016,COMPACTO
,NISSAN,New March,1.6­16V,16 SL,CVT,S,E,F,"7,8","9,8","11,7","14,5",2016,COMPACTO
,PEUGEOT,208,1.2­12V,Active,M­5,S,E,F,"10,9","11,7","15,1","16,9",2016,COMPACTO
,PEUGEOT,208,1.2­12V,Act Pack,M­5,S,E,F,"10,9","11,7","15,1","16,9",2016,COMPACTO
,PEUGEOT,208,1.2­12V,Allure,M­5,S,E,F,"10,9","11,7","15,1","16,9",2016,COMPACTO
,PEUGEOT,208,1.5­8V,Active,M­5,S,E,F,8,"9,6","11,6","14,3",2016,COMPACTO
,PEUGEOT,208,1.5­8V,Active Pack,M­5,S,E,F,8,"9,6","11,6","14,3",2016,COMPACTO
,PEUGEOT,208,1.5­8V,Allure,M­5,S,E,F,8,"9,6","11,6","14,3",2016,COMPACTO
,PEUGEOT,208,1.6­16V,Griffe,M­5,S,E,F,"7,1","8,9","10,6","12,9",2016,COMPACTO
,PEUGEOT,208,1.6­16V,Sport,M­5,S,E,F,"8,5",10,"12,3",14,2016,COMPACTO
,PEUGEOT,208,1.6­16V,Griffe,M­5,S,E,F,"8,5",10,"12,3",14,2016,COMPACTO
