categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Fora de Estrada,JEEP,RENEGADE,TRAILHAWK TF,1.3 16V T,A-9,S,E,F,"6,3","7,6","9,1","10,8",
Fora de Estrada,JEEP,WRANGLER,RUBICON,2.0-16V,A-8,S,E,G,\,\,"7,3","7,8",
Fora de Estrada,JEEP,WRANGLER,SAHARA 2,2.0-16V,A-8,S,H,G,\,\,8,"8,6",
Fora de Estrada,JEEP,WRANGLER,SPORT,2.0-16V,A-8,S,H,G,\,\,8,"8,6",
Fora de Estrada,JEEP,WRANGLER,UNL 80 ANOS,2.0-16V,A-8,S,H,G,\,\,"7,9","8,4",
Fora de Estrada,JEEP,WRANGLER,UNLIMITED RUBICON,2.0-16V,A-8,S,E,G,\,\,"7,3","7,8",
Fora de Estrada,JEEP,WRANGLER,UNLIMITED SAHARA,2.0-16V,A-8,S,H,G,\,\,"7,9","8,4",
Fora de Estrada,JEEP,WRANGLER,UNLIMITED SPORT,2.0-16V,A-8,S,H,G,\,\,"7,9","8,4",
Fora de Estrada,JEEP,COMMANDER,OVERLAND TD380,2.0 TURBO,A-9,S,E,D,\,\,"10,3","12,9",
Fora de Estrada,JEEP,COMMANDER,LIMITED TD380,2.0 TURBO,A-9,S,E,D,\,\,"10,3","12,9",
Fora de Estrada,LAND ROVER,DEFENDER 90,-,2.0-16V,A-8,S,E,G,\,\,"6,1","6,8",
Fora de Estrada,LAND ROVER,DEFENDER 90,S,2.0-16V,A-8,S,E,G,\,\,"6,1","6,8",
Fora de Estrada,LAND ROVER,DEFENDER 90,SE,2.0-16V,A-8,S,E,G,\,\,"6,1","6,8",
Fora de Estrada,LAND ROVER,DEFENDER 90,HSE,2.0-16V,A-8,S,E,G,\,\,"6,1","6,8",
Fora de Estrada,LAND ROVER,DEFENDER 90,7L,2.0-16V,A-8,S,E,G,\,\,"6,1","6,8",
Fora de Estrada,LAND ROVER,DEFENDER 90,S 7L,2.0-16V,A-8,S,E,G,\,\,"6,1","6,8",
Fora de Estrada,LAND ROVER,DEFENDER 90,SE 7L,2.0-16V,A-8,S,E,G,\,\,"6,1","6,8",
Fora de Estrada,LAND ROVER,DEFENDER 90,HSE 7L,2.0-16V,A-8,S,E,G,\,\,"6,1","6,8",
Fora de Estrada,LAND ROVER,DEFENDER 110,_,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,HSE,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,HSE XD,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,HSE XD 7L,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,HSE 7L,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,SE,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,SE XD,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,SE XD 7L,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,SE 7L,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,X,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,X 7L,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DEFENDER 110,7L,3.0-24V,A-8,S,E,D,\,\,"9,2","11,1",
Fora de Estrada,LAND ROVER,DISCOVERY,D300 HSE,3.0-24V,A-8,S,E,D,\,\,9,11,
Fora de Estrada,LAND ROVER,DISCOVERY,D300 HSERD,3.0-24V,A-8,S,E,D,\,\,9,11,
Fora de Estrada,LAND ROVER,DISCOVERY,D300 SE,3.0-24V,A-8,S,E,D,\,\,9,11,
Fora de Estrada,LAND ROVER,DISCOVERY,D300 SERD,3.0-24V,A-8,S,E,D,\,\,9,11,
Fora de Estrada,LAND ROVER,DISCOVERY SPORT,P250FF S,2.0-16V,A-9,S,E,F,"4,6","5,6","6,8","8,2",
Fora de Estrada,LAND ROVER,DISCOVERY SPORT,P250FF S 7L,2.0-16V,A-9,S,E,F,"4,6","5,6","6,8","8,2",
Fora de Estrada,LAND ROVER,DISCOVERY SPORT,P250FF SE,2.0-16V,A-9,S,E,F,"4,6","5,6","6,8","8,2",
Fora de Estrada,LAND ROVER,DISCOVERY SPORT,P250FF SE 7L,2.0-16V,A-9,S,E,F,"4,6","5,6","6,8","8,2",
Fora de Estrada,LAND ROVER,DISCOVERY SPORT,P250FF SE RD,2.0-16V,A-9,S,E,F,"4,6","5,6","6,8","8,2",
Fora de Estrada,LAND ROVER,DISCOVERY SPORT,P250FF SERD7,2.0-16V,A-9,S,E,F,"4,6","5,6","6,8","8,2",
