categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Extra Grande,FORD,Mustang Mach-E,GT,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,GWM,HAVAL H6,GT,1.5-16V,,S,E,G,\,\,11.4,10.4,2025
Extra Grande,Hyundai,IONIQ 5,Platinum,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,Hyundai,IONIQ 5,Ultimate,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,Hyundai,IONIQ 5,Signature,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,JAC,e-J7,e-J7,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,KIA,EV5 2WD,AIR 2WD,ELÉTRICO,,S,E,E,\,\,\,\,2025
Extra Grande,KIA,EV5 2WD,LAND 2WD,ELÉTRICO,,S,E,E,\,\,\,\,2025
Extra Grande,KIA,EV5 4WD,WAVE 4WD,ELÉTRICO,,S,E,E,\,\,\,\,2025
Extra Grande,LAMBORGHINI,URUS,S / PERFORMANTE,4.0-32V,,S,E,G,\,\,5.4,6.9,2025
Extra Grande,LEXUS,NX350H,DYNAMIC,2.5 - 16V,,S,E,G,\,\,15.7,13.8,2025
Extra Grande,LEXUS,NX350H,F-SPORT,2.5 - 16V,,S,E,G,\,\,15.7,13.8,2025
Extra Grande,LEXUS,NX350H,LUXURY,2.5 - 16V,,S,E,G,\,\,15.7,13.8,2025
Extra Grande,Mercedes-Benz,EQE300,SUV,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,Mercedes-Benz,AMG EQE53,SUV,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,Mercedes-Benz,EQE350,SUV,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,Mercedes-Benz,CLA200,AMG LINE,1.3-16V,,S,E,G,\,\,12.0,14.0,2025
Extra Grande,Mercedes-Benz,CLA200,PROGRESSIVE,1.3-16V,,S,E,G,\,\,12.0,14.0,2025
Extra Grande,Mercedes-Benz,E300,EXCLUSIVE,2.0-16V,,S,E,G,\,\,9.9,12.8,2025
Extra Grande,Mercedes-Benz,GLB220 4M,AMG LINE,2.0-16V,,S,E,G,\,\,9.5,12.0,2025
Extra Grande,Mercedes-Benz,GLB220 4M,PROGRESSIVE,2.0-16V,,S,E,G,\,\,9.5,12.0,2025
Extra Grande,Mercedes-Benz,AMG GLC43,Coupé,2.0-16V,,S,E,G,\,\,7.2,9.2,2025
Extra Grande,Mercedes-Benz,AMG GLE63 S CO,Coupé,4.0-32V,,S,E,G,\,\,5.9,7.3,2025
Extra Grande,Mercedes-Benz,C300,AMG LINE,2.0-16V,,S,E,G,\,\,10.3,13.2,2025
Extra Grande,Mercedes-Benz,C200,AMG LINE,1.5-16V,,S,E,G,\,\,11.4,14.7,2025
Extra Grande,Mercedes-Benz,AMG C63S EP,F1,2.0-16V,,S,E,G,\,\,7.2,8.1,2025
Extra Grande,Mercedes-Benz,E300,EXCLUSIVE,2.0-16V,,S,E,G,\,\,9.9,12.7,2025
Extra Grande,PORSCHE,MACAN,GTS,2.9-24V,,S,E,G,\,\,6.8,8.4,2025
Extra Grande,PORSCHE,MACAN,S,2.9-24V,,S,E,G,\,\,7.0,8.4,2025
Extra Grande,PORSCHE,MACAN,E4,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,PORSCHE,MACAN,ETURBO,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,PORSCHE,MACAN,E2,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,PORSCHE,MACAN,E4S,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,PORSCHE,MACAN,-- / T,2.0-16V,,S,E,G,\,\,7.3,8.5,2025
Extra Grande,TOYOTA,RAV4,SX CONNECT,2.5-16V,,S,E,G,\,\,15.3,14.1,2025
Extra Grande,TOYOTA,RAV4,S CONNECT,2.5-16V,,S,E,G,\,\,15.3,14.1,2025
Extra Grande,VW,ID.BUZZ,PRO,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,VW,TIGUAN,ALLSPACE RL,2.0-16V,,S,E,G,\,\,9.2,11.3,2025
Extra Grande,ZEEKR,001,Flagship,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,ZEEKR,001,Premium,Elétrico,,S,E,E,\,\,\,\,2025
Utilitário Esportivo Compacto,CAOA CHERY,TIGGO 5X,PRO HA,1.5T -16V,,S,E,F,8.1,8.5,11.4,11.8,2025
Utilitário Esportivo Compacto,CAOA CHERY,TIGGO 5X,PRO,1.5T -16V,,S,E,F,6.5,8.4,10.0,12.1,2025
Utilitário Esportivo Compacto,CAOA CHERY,TIGGO 5X,SPORT,1.5T -16V,,S,E,F,6.5,8.4,10.0,12.1,2025
Utilitário Esportivo Compacto,CHEVROLET,TRACKER,LT,1.0T - 12V,,S,E,F,8.0,9.8,11.6,13.7,2025
Utilitário Esportivo Compacto,CHEVROLET,TRACKER,LT,1.0T - 12V,,S,E,F,8.0,9.8,11.6,13.7,2025
Utilitário Esportivo Compacto,CHEVROLET,TRACKER,MID,1.0T - 12V,,S,E,F,8.0,9.8,11.6,13.7,2025
Utilitário Esportivo Compacto,CHEVROLET,TRACKER,AT,1.0T - 12V,,S,E,F,8.0,9.8,11.6,13.7,2025
Utilitário Esportivo Compacto,CHEVROLET,TRACKER,LTZ,1.0T - 12V,,S,E,F,8.0,9.8,11.6,13.7,2025
Utilitário Esportivo Compacto,CHEVROLET,TRACKER,LTZ,1.0T - 12V,,S,E,F,8.0,9.8,11.6,13.7,2025
Utilitário Esportivo Compacto,CHEVROLET,TRACKER,RS,1.2T - 12V,,S,E,F,7.7,10.0,11.2,14.1,2025
Utilitário Esportivo Compacto,CHEVROLET,TRACKER,RS,1.2T - 12V,,S,E,F,7.7,10.0,11.2,14.1,2025
Utilitário Esportivo Compacto,CHEVROLET,TRACKER,PREMIER,1.2T - 12V,,S,E,F,7.7,10.0,11.2,14.1,2025
Utilitário Esportivo Compacto,CHEVROLET,TRACKER,PREMIER,1.2T - 12V,,S,E,F,7.7,10.0,11.2,14.1,2025
Utilitário Esportivo Compacto,CITROEN,BASALT,T200 1ST,1.0T-12V,,S,E,F,8.4,9.6,12.1,13.7,2025
Utilitário Esportivo Compacto,CITROEN,BASALT,FEEL 1.0,1.0-6V,,S,E,F,9.2,10.1,13.2,14.3,2025
